Private flight,Goroka Airport,Teslin Airport,2023-07-20 12:32,2024-01-04 12:32
135 Airways,Madang Airport,CFB Greenwood,2023-05-07 12:32,2024-02-18 12:32
1Time Airline,Mount Hagen Kagamuga Airport,Faro Airport,2023-09-29 12:32,2024-01-12 12:32
2 Sqn No 1 Elementary Flying Training School,Nadzab Airport,Fort Mcpherson Airport,2024-02-26 12:32,2023-08-10 12:32
213 Flight Unit,Port Moresby Jacksons International Airport,Blida Airport,2023-07-13 12:32,2024-03-10 12:32
223 Flight Unit State Airline,Wewak International Airport,Bou Saada Airport,2023-07-15 12:32,2023-12-25 12:32
224th Flight Unit,Narsarsuaq Airport,Soummam Airport,2023-02-09 12:32,2023-10-04 12:32
247 Jet Ltd,Godthaab / Nuuk Airport,Houari Boumediene Airport,2023-09-08 12:32,2023-11-01 12:32
3D Aviation,Kangerlussuaq Airport,Djanet Inedbirene Airport,2024-03-18 12:32,2024-04-06 12:32
40-Mile Air,Thule Air Base,Boufarik Airport,2024-03-24 12:32,2023-07-25 12:32
4D Air,Akureyri Airport,Reggane Airport,2023-03-20 12:32,2023-10-11 12:32
611897 Alberta Limited,Egilsstaðir Airport,Illizi Takhamalt Airport,2024-03-08 12:32,2024-04-18 12:32
Ansett Australia,Hornafjörður Airport,Ain Oussera Airport,2023-05-01 12:32,2024-04-14 12:32
Abacus International,Húsavík Airport,Aguenar Hadj Bey Akhamok Airport,2023-11-29 12:32,2024-03-13 12:32
Abelag Aviation,Ísafjörður Airport,Jijel Ferhat Abbas Airport,2024-04-12 12:32,2024-01-28 12:32
Army Air Corps,Keflavik International Airport,Mecheria Airport,2023-10-20 12:32,2024-05-21 12:32
Aero Aviation Centre Ltd.,Patreksfjörður Airport,Relizane Airport,2023-09-29 12:32,2023-12-05 12:32
Aero Servicios Ejecutivos Internacionales,Reykjavik Airport,Rabah Bitat Airport,2023-08-22 12:32,2024-02-06 12:32
Aero Biniza,Siglufjörður Airport,Mohamed Boudiaf International Airport,2023-02-06 12:32,2024-02-24 12:32
Aero Albatros,Vestmannaeyjar Airport,Cheikh Larbi Tébessi Airport,2023-02-22 12:32,2023-06-18 12:32
Aigle Azur,Sault Ste Marie Airport,Hassi R'Mel Airport,2023-10-22 12:32,2024-03-19 12:32
Aloha Airlines,Winnipeg / St. Andrews Airport,Bou Chekif Airport,2023-02-24 12:32,2023-06-29 12:32
Alaska Island Air,Halifax / CFB Shearwater Heliport,Bou Sfer Airport,2023-10-22 12:32,2023-08-14 12:32
American Airlines,St. Anthony Airport,Tindouf Airport,2023-08-21 12:32,2024-05-06 12:32
Aviation Management Corporation,Tofino / Long Beach Airport,Ech Cheliff Airport,2023-03-16 12:32,2023-08-08 12:32
Atlantis Airlines (USA),Kugaaruk Airport,Tafaraoui Airport,2024-02-22 12:32,2023-06-23 12:32
Aerovista Airlines,Baie Comeau Airport,Zenata Messali El Hadj Airport,2023-10-19 12:32,2024-01-07 12:32
Asiana Airlines,CFB Bagotville,Es Senia Airport,2024-02-15 12:32,2023-09-28 12:32
Askari Aviation,Baker Lake Airport,Sidi Bel Abbes Airport,2024-03-06 12:32,2024-02-28 12:32
Australia Asia Airlines,Campbell River Airport,Ghriss Airport,2023-10-09 12:32,2023-11-23 12:32
